n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,ccp_alpha,train_acc,val_acc,fit_seconds,completed_at,grid_index,grid_total
100,,,10,2,,0.0,0.9709868487099689,0.6263473053892216,78.344,2026-05-18T20:18:09.180756,317,1296
400,20.0,,2,4,,0.0001,0.9463909246059633,0.6263473053892216,215.069,2026-05-19T06:32:05.831468,1162,1296
100,20.0,,10,1,,0.0001,0.9508583475554663,0.6263473053892216,60.572,2026-05-18T19:28:28.541910,206,1296
100,,,10,2,,0.0001,0.9589900612388315,0.6263473053892216,78.591,2026-05-18T20:19:27.825028,318,1296
400,20.0,sqrt,5,4,,0.0001,0.9278686878827427,0.6263473053892216,9.147,2026-05-19T05:54:27.945632,1102,1296
100,,,10,4,,0.0,0.9455877923903222,0.6263473053892216,69.336,2026-05-18T20:22:06.160128,321,1296
100,,,10,4,,0.0001,0.9349964862965565,0.6263473053892216,69.221,2026-05-18T20:23:15.423371,322,1296
400,20.0,sqrt,5,4,,0.0,0.9419235016564602,0.6263473053892216,9.13,2026-05-19T05:54:18.657676,1101,1296
300,,sqrt,10,1,,0.0001,0.9536693103102099,0.6263473053892216,8.545,2026-05-19T02:25:04.022291,890,1296
400,20.0,,5,4,,0.0001,0.9463909246059633,0.6263473053892216,215.582,2026-05-19T07:11:07.473441,1174,1296
400,,sqrt,2,1,,0.0,0.9997992169460898,0.6259481037924152,11.651,2026-05-19T07:55:37.881899,1189,1296
300,,sqrt,2,1,,0.0001,0.9861459692801927,0.6259481037924152,9.049,2026-05-19T02:22:20.058441,866,1296
200,10.0,,5,2,,0.0001,0.7701034032727638,0.6259481037924152,80.723,2026-05-18T20:51:50.020113,414,1296
300,,sqrt,10,1,,0.0,0.9841381387410902,0.6259481037924152,8.492,2026-05-19T02:24:55.368156,889,1296
400,,sqrt,2,4,,0.0001,0.9293243650235921,0.6259481037924152,9.855,2026-05-19T07:57:02.701514,1198,1296
300,20.0,sqrt,5,4,,0.0,0.9419235016564602,0.6259481037924152,6.841,2026-05-19T00:50:35.506620,777,1296
300,20.0,sqrt,2,4,,0.0,0.9419235016564602,0.6259481037924152,6.853,2026-05-19T00:49:18.266873,765,1296
300,20.0,sqrt,2,4,,0.0001,0.9272161429575344,0.6259481037924152,6.986,2026-05-19T00:49:25.360167,766,1296
300,20.0,sqrt,5,4,,0.0001,0.9272161429575344,0.6259481037924152,7.014,2026-05-19T00:50:42.628804,778,1296
300,20.0,sqrt,2,2,,0.0,0.9850416624836864,0.6259481037924152,7.321,2026-05-19T00:48:52.817277,761,1296
100,20.0,,10,2,,0.0,0.9571328179901616,0.6259481037924152,60.823,2026-05-18T19:30:59.895964,209,1296
400,20.0,sqrt,10,2,,0.0,0.952615199277181,0.6259481037924152,9.437,2026-05-19T05:55:26.181982,1109,1296
400,,sqrt,5,4,,0.0001,0.9293243650235921,0.6259481037924152,9.944,2026-05-19T07:58:51.995558,1210,1296
300,,sqrt,10,4,,0.0001,0.9146672020881438,0.6259481037924152,7.399,2026-05-19T02:25:57.167399,898,1296
400,20.0,sqrt,10,2,,0.0001,0.9398654753538801,0.6255489021956088,9.537,2026-05-19T05:55:35.860832,1110,1296
200,10.0,,2,4,,0.0,0.7622226684067864,0.6255489021956088,80.056,2026-05-18T20:39:49.971849,405,1296
400,20.0,sqrt,10,4,,0.0,0.9267141853227587,0.6255489021956088,9.057,2026-05-19T05:55:59.607323,1113,1296
200,,sqrt,10,2,,0.0001,0.9428270253990563,0.6255489021956088,5.44,2026-05-18T22:21:24.102370,570,1296
200,10.0,,2,4,,0.0001,0.7607669912659372,0.6255489021956088,80.817,2026-05-18T20:41:10.860879,406,1296
